"ID","Hash","vendor","device/MCU model"
467,"ef628613c57d5debf42d4c06cfc9c145",,
468,"e7ba3dcf8b293244d203cab2a9bfc31a",,
469,"9d157ff082b534846a8fc517183cbba9",,
470,"3695efe14c68387a201acc8d1be45039",,
471,"2a84534b369b3bfbf7396523b5970fb9",,
472,"5e5d3a3dcf5c605e1da267ab93f66214",,
473,"55e85d2db813fa8867a9177d90fcc611",,
474,"af3bb9ae218b013d9417d27d9b7bac45",,
475,"9db53e6f3ed9e360b8c58e6a40e23296",,
476,"57ed614a9d930f23927d5bd9085dcba0",,
477,"c7ddfaa7417ddf9fde2a5a282ea47d31",,
478,"d4397dc7dbf0ff21082a9600d2877945",,
479,"8490dae3ebd94cc9fccfb8bb32b06e36",,
480,"e8ced20f1129ffe1729ad89e8ced9ef3",,
481,"fe3a739f3ea64443a3eae65d8f038c00","nordic",
482,"e1a3b68e58008b72b976d6d29795ebd6",,
483,"ee8aaf73f22530b1e46fd824128c64d5",,
484,"a8a553be79665ac23063d037c705b3d3",,
485,"08d201f202b2e342b466547f1f64de18",,
486,"81f9fc38d4d030f651bb8efb6ce23135",,
487,"81929050a0d1210c5ff086a04af96965","nordic",
2361,"f853692a7896e61a45eacd3e4f98333a","nordic",
488,"0095e3b2e038bb2aac45c6710e5f90e0","nordic",
489,"22c8027a92fa7e000fc22874bf6233aa",,
490,"0a7c053090e8466ca579dfb14db59c5f",,
491,"378e24d133aba447bb903b116e6f7edf","nordic",
492,"05a4fe60fa7ebbac311324db86abed8e",,
493,"579e21f020e60ca431938750552aff0f",,
494,"872da22778b539224348237a761d14cb",,
495,"3c1ad1f7e9034defff14ad3b937cdba7",,
